iter	Passed	Remaining
583	3322	2366
584	3327	2360
585	3331	2353
586	3336	2347
587	3341	2341
588	3346	2335
589	3351	2329
590	3356	2322
591	3361	2316
592	3366	2310
593	3371	2304
594	3376	2298
595	3381	2291
596	3386	2285
597	3392	2280
598	3396	2274
599	3401	2267
600	3406	2261
601	3411	2255
602	3416	2249
603	3421	2243
604	3426	2236
605	3431	2230
606	3435	2224
607	3440	2218
608	3445	2212
609	3450	2206
610	3454	2199
611	3459	2193
612	3463	2186
613	3468	2180
614	3472	2173
615	3477	2167
616	3481	2161
617	3486	2155
618	3491	2149
619	3495	2142
620	3501	2136
621	3506	2130
622	3510	2124
623	3514	2117
624	3519	2111
625	3523	2105
626	3528	2099
627	3533	2092
628	3537	2086
629	3542	2080
630	3546	2073
631	3550	2067
632	3555	2061
633	3559	2054
634	3563	2048
635	3567	2042
636	3572	2035
637	3577	2029
638	3581	2023
639	3586	2017
640	3590	2011
641	3595	2004
642	3600	1998
643	3605	1993
644	3609	1986
645	3614	1980
646	3618	1974
647	3623	1968
648	3628	1962
649	3633	1956
650	3638	1950
651	3643	1944
652	3648	1939
653	3653	1932
654	3658	1927
655	3663	1921
656	3667	1914
657	3672	1909
658	3677	1902
659	3682	1896
660	3686	1890
661	3690	1884
662	3695	1878
663	3700	1872
664	3704	1866
665	3708	1860
666	3713	1854
667	3719	1848
668	3724	1842
669	3728	1836
670	3733	1830
671	3738	1824
672	3742	1818
673	3747	1812
674	3752	1806
675	3756	1800
676	3761	1794
677	3765	1788
678	3770	1782
679	3775	1776
680	3780	1770
681	3784	1764
682	3789	1758
683	3793	1752
684	3798	1746
685	3803	1741
686	3808	1735
687	3812	1729
688	3817	1723
689	3821	1716
690	3826	1711
691	3830	1705
692	3836	1699
693	3840	1693
694	3845	1687
695	3849	1681
696	3854	1675
697	3858	1669
698	3863	1663
699	3868	1657
700	3872	1651
701	3876	1645
702	3880	1639
703	3885	1633
704	3890	1627
705	3894	1621
706	3899	1615
707	3903	1609
708	3908	1604
709	3913	1598
710	3918	1592
711	3922	1586
712	3926	1580
713	3932	1575
714	3938	1569
715	3942	1563
716	3947	1558
717	3952	1552
718	3958	1546
719	3963	1541
720	3968	1535
721	3975	1530
722	3979	1524
723	3986	1519
724	3991	1514
725	3996	1508
726	4001	1502
727	4006	1496
728	4011	1491
729	4015	1485
730	4019	1479
731	4024	1473
732	4029	1467
733	4034	1462
734	4039	1456
735	4045	1451
736	4050	1445
737	4055	1439
738	4060	1434
739	4065	1428
740	4070	1422
741	4075	1417
742	4080	1411
743	4085	1405
744	4089	1399
745	4093	1393
746	4097	1387
747	4102	1382
748	4107	1376
749	4112	1370
750	4117	1365
751	4121	1359
752	4126	1353
753	4130	1347
754	4136	1342
755	4142	1336
756	4146	1331
757	4152	1325
758	4157	1320
759	4162	1314
760	4167	1308
761	4172	1303
762	4177	1297
763	4182	1291
764	4187	1286
765	4192	1280
766	4196	1274
767	4200	1269
768	4204	1263
769	4209	1257
770	4215	1251
771	4219	1246
772	4224	1240
773	4229	1234
774	4233	1229
775	4238	1223
776	4242	1217
777	4247	1211
778	4251	1206
779	4256	1200
780	4261	1195
781	4267	1189
782	4271	1183
783	4276	1178
784	4282	1172
785	4287	1167
786	4291	1161
787	4296	1156
788	4301	1150
789	4306	1144
790	4311	1139
791	4316	1133
792	4321	1127
793	4325	1122
794	4330	1116
795	4335	1111
796	4340	1105
797	4345	1100
798	4349	1094
799	4354	1088
800	4358	1082
801	4363	1077
802	4368	1071
803	4373	1066
804	4378	1060
805	4383	1055
806	4388	1049
807	4392	1043
808	4398	1038
809	4402	1032
810	4406	1026
811	4411	1021
812	4416	1015
813	4421	1010
814	4426	1004
815	4431	999
816	4435	993
817	4439	987
818	4444	982
819	4449	976
820	4453	970
821	4458	965
822	4463	959
823	4468	954
824	4473	948
825	4478	943
826	4483	937
827	4488	932
828	4493	926
829	4497	921
830	4502	915
831	4507	910
832	4511	904
833	4516	898
834	4520	893
835	4525	887
836	4529	882
837	4533	876
838	4538	870
839	4543	865
840	4548	859
841	4553	854
842	4557	848
843	4562	843
844	4567	837
845	4572	832
846	4577	826
847	4581	821
848	4585	815
849	4591	810
850	4596	804
851	4600	799
852	4605	793
853	4610	788
854	4614	782
855	4619	777
856	4623	771
857	4628	766
858	4633	760
859	4637	755
860	4642	749
861	4647	743
862	4652	738
863	4657	733
864	4661	727
865	4666	721
866	4670	716
867	4675	710
868	4679	705
869	4684	699
870	4688	694
871	4692	688
872	4698	683
873	4703	678
874	4708	672
875	4713	667
876	4717	661
877	4722	656
878	4726	650
879	4731	645
880	4735	639
881	4739	634
882	4744	628
883	4749	623
884	4754	617
885	4759	612
886	4764	606
887	4768	601
888	4773	595
889	4777	590
890	4781	585
891	4786	579
892	4790	573
893	4795	568
894	4800	563
895	4805	557
896	4810	552
897	4815	546
898	4819	541
899	4824	536
900	4828	530
901	4833	525
902	4838	519
903	4843	514
904	4847	508
905	4852	503
906	4857	498
907	4862	492
908	4866	487
909	4872	481
910	4877	476
911	4882	471
912	4886	465
913	4891	460
914	4895	454
915	4900	449
916	4905	444
917	4910	438
918	4915	433
919	4920	427
920	4925	422
921	4929	417
922	4933	411
923	4938	406
924	4943	400
925	4948	395
926	4953	390
927	4958	384
928	4962	379
929	4966	373
930	4971	368
931	4976	363
932	4981	357
933	4985	352
934	4989	346
935	4994	341
936	4999	336
937	5004	330
938	5008	325
939	5012	319
940	5017	314
941	5022	309
942	5028	303
943	5033	298
944	5041	293
945	5046	288
946	5051	282
947	5056	277
948	5060	271
949	5065	266
950	5071	261
951	5075	255
952	5080	250
953	5086	245
954	5090	239
955	5095	234
956	5100	229
957	5105	223
958	5109	218
959	5114	213
960	5119	207
961	5124	202
962	5129	197
963	5135	191
964	5140	186
965	5144	181
966	5149	175
967	5154	170
968	5159	165
969	5163	159
970	5168	154
971	5173	149
972	5178	143
973	5183	138
974	5188	133
975	5194	127
976	5198	122
977	5202	117
978	5207	111
979	5211	106
980	5216	101
981	5220	95
982	5225	90
983	5229	85
984	5234	79
985	5238	74
986	5243	69
987	5248	63
988	5253	58
989	5258	53
990	5263	47
991	5268	42
992	5273	37
993	5277	31
994	5282	26
995	5286	21
996	5291	15
997	5295	10
998	5300	5
999	5305	0
